AngleRoll,AnglePitch,Tempo
-41.570789,37.590286,45831
-41.177315,37.990833,45851
-41.238560,38.223103,45879
-41.241192,37.926193,45909
-41.454487,37.918766,45932
-41.432640,37.941120,45946
-41.047600,37.939915,45969
-41.540142,37.829151,45982
-41.419098,37.685482,46012
-41.410030,37.539249,46030
-41.430145,37.923779,46048
-41.031036,37.981415,46070
-41.241608,37.838131,46085
-41.387695,37.872463,46114
-41.065475,38.150742,46132
-41.346642,37.725189,46150
-41.649887,37.794888,46172
-41.490395,37.697556,46191
-41.385033,37.901718,46218
-41.404358,37.815170,46233
-41.377579,37.929298,46251
-41.491230,37.763649,46276
-41.336151,37.853512,46306
-41.297997,37.933220,46316
-41.612465,37.695572,46346
-41.458710,37.597900,46364
-41.556202,38.002186,46394
-40.811485,38.224842,46424
-41.230473,38.114895,46442
-41.394299,37.853115,46460
-41.486946,37.601143,46496
-41.349735,38.034615,46520
-41.486248,37.776611,46540
-41.566654,37.638096,46556
-41.102242,38.059708,46586
-41.298466,38.032654,46620
-41.121086,38.094353,46634
-41.186211,38.109558,46654
-41.300037,37.991623,46685
-41.210300,37.771366,46700
-41.507278,37.902260,46730
-41.373867,37.826210,46748
-41.424278,37.902218,46766
-41.438004,37.824493,46795
-41.093948,38.192055,46820
-41.252182,38.179790,46830
-41.107506,38.138607,46849
-40.942474,38.248192,46867
-41.532413,37.823700,46889
-41.482933,37.923779,46904
-41.283634,37.974663,46934
-41.469730,37.789482,46952
-41.293385,38.154591,46974
-41.244713,38.007164,46994
-41.417725,37.765427,47029
-41.345673,38.008511,47053
-41.513683,37.445850,47098
-41.257263,37.877007,47122
-41.385429,38.184227,47136
-41.182701,37.791348,47154
